Average Current AAPL Value,"[216.66500000000002, 216.62, 216.56499000000002, 216.43006000000003, 216.13, 216.0249, 215.94005, 215.755, 215.62998499999998, 215.765, 215.89754, 215.91505, 215.90001, 215.87900000000002, 215.76999999999998, 215.75105000000002, 215.68194499999998, 215.765, 215.96, 216.0099, 216.02250500000002, 216.07501, 216.06000999999998, 215.95498999999998, 215.935]"
Average AAPL Value Last Month,"[216.01999999999998, 214.07, 213.37, 218.26, 223.80490000000003, 220.825, 222.435, 218.995, 214.9875, 218.32999999999998, 222.44, 226.5, 223.8825, 224.22750000000002, 227.685, 224.555, 223.515, 227.87065, 223.995, 222.195, 216.62, 205.84665, 210.175, 206.9805, 209.85999999999999]"
EOD Sentiment Calculations,"{0: 16, -1: 2, 1: 4}"
